text,label
Radha smiles hearing Krishna's name,positive
The absence of Krishna fills Radha with grief,negative
Radha feels complete in Krishna's love,positive
Loneliness surrounds Radha when Krishna is away,negative
Radha feels complete in Krishna's love,positive
Krishna leaving Vrindavan makes Radha sorrowful,negative
Radha feels eternal bliss remembering Krishna,positive
Radha feels deep pain in separation from Krishna,negative
Radha smiles hearing Krishna's name,positive
Krishna leaving Vrindavan makes Radha sorrowful,negative
The bond of Radha and Krishna removes sorrow,positive
Radha feels deep pain in separation from Krishna,negative
The bond of Radha and Krishna removes sorrow,positive
Loneliness surrounds Radha when Krishna is away,negative
Radha smiles hearing Krishna's name,positive
Krishna's distance brings sadness to Radha,negative
Their divine love inspires devotion and happiness,positive
Krishna's distance brings sadness to Radha,negative
Radha feels eternal bliss remembering Krishna,positive
Radha feels abandoned without Krishna,negative
Krishna's presence brings joy and peace to Radha,positive
Radha feels deep pain in separation from Krishna,negative
Krishna's flute fills Radha's heart with divine love,positive
Radha feels abandoned without Krishna,negative
The bond of Radha and Krishna removes sorrow,positive
Separation from Krishna causes Radha suffering,negative
Krishna's flute fills Radha's heart with divine love,positive
Radha cries remembering Krishna's departure,negative
Radha feels eternal bliss remembering Krishna,positive
Radha's heart aches without Krishna,negative
The love of Radha and Krishna is pure and timeless,positive
Krishna leaving Vrindavan makes Radha sorrowful,negative
Radha smiles hearing Krishna's name,positive
Separation from Krishna causes Radha suffering,negative
Radha feels eternal bliss remembering Krishna,positive
Radha cries remembering Krishna's departure,negative
Krishna protects Radha with compassion,positive
Radha's heart aches without Krishna,negative
Radha smiles hearing Krishna's name,positive
Separation from Krishna causes Radha suffering,negative
Krishna's flute fills Radha's heart with divine love,positive
Loneliness surrounds Radha when Krishna is away,negative
Krishna's flute fills Radha's heart with divine love,positive
Radha feels deep pain in separation from Krishna,negative
Their divine love inspires devotion and happiness,positive
Radha cries remembering Krishna's departure,negative
Krishna's flute fills Radha's heart with divine love,positive
Krishna's distance brings sadness to Radha,negative
Radha feels eternal bliss remembering Krishna,positive
Radha cries remembering Krishna's departure,negative
Their divine love inspires devotion and happiness,positive
Krishna leaving Vrindavan makes Radha sorrowful,negative
Their divine love inspires devotion and happiness,positive
Radha feels deep pain in separation from Krishna,negative
Radha feels complete in Krishna's love,positive
Radha feels deep pain in separation from Krishna,negative
Radha feels eternal bliss remembering Krishna,positive
Radha cries remembering Krishna's departure,negative
The love of Radha and Krishna is pure and timeless,positive
Radha feels deep pain in separation from Krishna,negative
Their divine love inspires devotion and happiness,positive
Radha waits helplessly for Krishna in loneliness,negative
Krishna protects Radha with compassion,positive
Radha cries remembering Krishna's departure,negative
The bond of Radha and Krishna removes sorrow,positive
Loneliness surrounds Radha when Krishna is away,negative
Radha smiles hearing Krishna's name,positive
Loneliness surrounds Radha when Krishna is away,negative
Their divine love inspires devotion and happiness,positive
Separation from Krishna causes Radha suffering,negative
Krishna's flute fills Radha's heart with divine love,positive
Radha feels abandoned without Krishna,negative
Radha feels complete in Krishna's love,positive
Radha feels deep pain in separation from Krishna,negative
Radha smiles hearing Krishna's name,positive
Radha cries remembering Krishna's departure,negative
Krishna's flute fills Radha's heart with divine love,positive
Loneliness surrounds Radha when Krishna is away,negative
Radha and Krishna share divine happiness,positive
